day	hour	value
99500	5	0.06
99500	10	0.36
99500	15	0.57
99500	20	0.57
99500	25	0.59
99500	30	0.61
99500	35	0.63
99500	40	0.63
99500	45	0.63
99500	50	0.63
99500	55	0.63
99500	60	0.63
99500	65	0.63
99500	70	0.63
99500	75	0.63
99500	80	0.63
99500	85	0.63
99500	90	0.63
99500	95	0.63
99500	100	0.63
99600	5	0.06
99600	10	0.36
99600	15	0.57
99600	20	0.57
99600	25	0.59
99600	30	0.61
99600	35	0.63
99600	40	0.63
99600	45	0.63
99600	50	0.63
99600	55	0.63
99600	60	0.63
99600	65	0.63
99600	70	0.63
99600	75	0.63
99600	80	0.63
99600	85	0.63
99600	90	0.63
99600	95	0.63
99600	100	0.63
99700	5	0.06
99700	10	0.36
99700	15	0.57
99700	20	0.57
99700	25	0.59
99700	30	0.61
99700	35	0.63
99700	40	0.63
99700	45	0.63
99700	50	0.63
99700	55	0.63
99700	60	0.63
99700	65	0.63
99700	70	0.63
99700	75	0.63
99700	80	0.63
99700	85	0.63
99700	90	0.63
99700	95	0.63
99700	100	0.63
99800	5	0.06
99800	10	0.36
99800	15	0.57
99800	20	0.57
99800	25	0.59
99800	30	0.61
99800	35	0.63
99800	40	0.63
99800	45	0.63
99800	50	0.63
99800	55	0.63
99800	60	0.63
99800	65	0.63
99800	70	0.63
99800	75	0.63
99800	80	0.63
99800	85	0.63
99800	90	0.63
99800	95	0.63
99800	100	0.63
99900	5	0.06
99900	10	0.36
99900	15	0.57
99900	20	0.57
99900	25	0.59
99900	30	0.61
99900	35	0.63
99900	40	0.63
99900	45	0.63
99900	50	0.63
99900	55	0.63
99900	60	0.63
99900	65	0.63
99900	70	0.63
99900	75	0.63
99900	80	0.63
99900	85	0.63
99900	90	0.63
99900	95	0.63
99900	100	0.63
100000	5	0.06
100000	10	0.36
100000	15	0.57
100000	20	0.57
100000	25	0.59
100000	30	0.61
100000	35	0.63
100000	40	0.63
100000	45	0.63
100000	50	0.63
100000	55	0.63
100000	60	0.63
100000	65	0.63
100000	70	0.63
100000	75	0.63
100000	80	0.63
100000	85	0.63
100000	90	0.63
100000	95	0.63
100000	100	0.63
100100	5	0.06
100100	10	0.36
100100	15	0.57
100100	20	0.57
100100	25	0.59
100100	30	0.61
100100	35	0.63
100100	40	0.63
100100	45	0.63
100100	50	0.63
100100	55	0.63
100100	60	0.63
100100	65	0.63
100100	70	0.63
100100	75	0.63
100100	80	0.63
100100	85	0.63
100100	90	0.63
100100	95	0.63
100100	100	0.63
100200	5	0.06
100200	10	0.36
100200	15	0.57
100200	20	0.57
100200	25	0.59
100200	30	0.61
100200	35	0.63
100200	40	0.63
100200	45	0.63
100200	50	0.63
100200	55	0.63
100200	60	0.63
100200	65	0.63
100200	70	0.63
100200	75	0.63
100200	80	0.63
100200	85	0.63
100200	90	0.63
100200	95	0.63
100200	100	0.63
100300	5	0.06
100300	10	0.36
100300	15	0.57
100300	20	0.57
100300	25	0.59
100300	30	0.61
100300	35	0.63
100300	40	0.63
100300	45	0.63
100300	50	0.63
100300	55	0.63
100300	60	0.63
100300	65	0.63
100300	70	0.63
100300	75	0.63
100300	80	0.63
100300	85	0.63
100300	90	0.63
100300	95	0.63
100300	100	0.63
100400	5	0.06
100400	10	0.36
100400	15	0.57
100400	20	0.57
100400	25	0.59
100400	30	0.61
100400	35	0.63
100400	40	0.63
100400	45	0.63
100400	50	0.63
100400	55	0.63
100400	60	0.63
100400	65	0.63
100400	70	0.63
100400	75	0.63
100400	80	0.63
100400	85	0.63
100400	90	0.63
100400	95	0.63
100400	100	0.63
